Date,Modality,FirstImageTime,ImagesPerSecond
2021-11-24 08:24:51,Failed,Failed,Failed
2021-11-24 08:24:52,CR,0.15,28.98
2021-11-24 08:24:54,MR,0.28,308.06
2021-11-24 08:24:56,CR,0.27,11.56
2021-11-24 08:24:56,Failed,Failed,Failed
2021-11-24 08:25:00,US,0.16,134.17
2021-11-24 08:25:01,CT,0.16,741.92
2021-11-24 08:25:02,Failed,Failed,Failed
2021-11-24 08:25:03,US,0.33,146.6
2021-11-24 08:25:06,MR,0.13,328.95
2021-11-24 08:25:09,CR,0.28,12.04
2021-11-24 08:25:10,CR,0.32,9.06
2021-11-24 08:25:13,MR,0.28,164.27
2021-11-24 08:25:15,CR,0.16,26.72
2021-11-24 08:25:16,US,0.17,164.18
2021-11-24 08:25:21,CT,0.34,314.59
2021-11-24 08:25:21,CR,0.18,24.01
2021-11-24 08:25:21,CR,0.16,24.47
2021-11-24 08:25:21,CR,0.16,22.39
2021-11-24 08:25:24,CR,0.2,23.27
2021-11-24 08:25:24,CR,0.16,11.89
2021-11-24 08:25:27,Failed,Failed,Failed
2021-11-24 08:25:28,CT,0.16,520.85
2021-11-24 08:25:28,Failed,Failed,Failed
2021-11-24 08:25:28,Failed,Failed,Failed
2021-11-24 08:25:29,CR,0.15,26.73
2021-11-24 08:25:31,CR,0.15,30.06
2021-11-24 08:25:31,CR,0.36,8.69
2021-11-24 08:25:35,CR,0.27,14.85
2021-11-24 08:25:35,CR,0.3,11.31
2021-11-24 08:25:35,CT,0.14,384.45
2021-11-24 08:25:36,US,0.18,288.77
2021-11-24 08:25:39,CR,0.28,12.63
2021-11-24 08:25:40,CR,0.15,28.34
2021-11-24 08:25:41,CR,0.15,27.29
2021-11-24 08:25:41,Failed,Failed,Failed
2021-11-24 08:25:44,CR,0.15,25.31
2021-11-24 08:25:45,US,0.11,81.54
2021-11-24 08:25:46,CR,0.15,18.14
2021-11-24 08:25:50,US,0.16,169.54
2021-11-24 08:25:51,Failed,Failed,Failed
