Date,Modality,FirstImageTime,ImagesPerSecond,headers were loaded,Total headers load time is[seconds],First header load time is[seconds],header per second [with first header],header per second [without first header],Load completed for request,images were loaded,Total load time is[seconds],Total Pixel data load time is[seconds],First image time is[seconds],images per second [with first image],images per second [without first image],Headers transfer rate[kilobytes per second],Headers total bytes[kilobytes],Pixel data transfer rate[kilobytes per second],Pixel data total bytes[kilobytes],Total of[kilobytes per second],Total bytes[kilobytes],Number of images ,delete completed for request
2021-11-24 08:25:59,CR,0.31,11.59,2.0,0.173441,0.150779,11.531279,44.125174,1234.0,2.0,0.484702,0.311261,0.334757,4.126247,6.669125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,1431306240.0
2021-11-24 08:26:01,CR,0.29,11.34,2.0,0.151257,0.128613,13.222511,44.161614,1234.0,2.0,0.465836,0.314578,0.312107,4.29336,6.504975,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,985137152.0
2021-11-24 08:26:05,CT,0.19,768.08,119.0,0.102545,0.0910565,1160.460479,10270.693707,1234.0,119.0,0.340999,0.238453,0.197555,348.97463,822.621248,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,238.0,743178240.0
2021-11-24 08:26:05,CT,0.34,282.61,292.0,0.213835,0.153534,1365.537573,4825.734598,1234.0,292.0,1.37413,1.1603,0.401196,212.497425,299.0939,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,584.0,2037383168.0
2021-11-24 08:26:06,MR,0.13,523.46,1043.0,0.24472,0.110464,4262.011988,7761.29186,1234.0,1043.0,2.12669,1.88197,0.26843,490.433652,560.739768,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2086.0,1433403392.0
2021-11-24 08:26:06,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed
2021-11-24 08:26:06,US,0.19,156.41,58.0,0.118615,0.112217,488.978591,8909.869635,1234.0,116.0,0.930344,0.81173,0.195121,124.685009,156.415043,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,174.0,923009024.0
2021-11-24 08:26:09,CR,0.31,12.07,2.0,0.133343,0.126618,14.99889,148.68783,1234.0,2.0,0.476373,0.34303,0.317386,4.198391,6.289811,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-2140930048.0
2021-11-24 08:26:11,CR,0.15,28.23,2.0,0.0885813,0.0855185,22.578129,326.498629,1234.0,2.0,0.223362,0.134781,0.155566,8.954067,14.750089,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1978400768.0
2021-11-24 08:26:13,MR,0.21,710.98,8.0,0.135195,0.128895,59.173874,1111.199302,1234.0,8.0,0.220685,0.0854905,0.215733,36.250715,1413.54173,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,1988886528.0
2021-11-24 08:26:15,CT,0.18,821.49,322.0,0.136182,0.0898758,2364.481088,6932.102111,1234.0,322.0,0.574919,0.438737,0.229253,560.078606,928.640219,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,644.0,-2129133568.0
2021-11-24 08:26:16,CR,0.29,9.15,2.0,0.151031,0.128468,13.242323,44.32074,1234.0,2.0,0.505563,0.354532,0.309601,3.955986,5.10302,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,665583616.0
2021-11-24 08:26:17,CR,0.16,29.23,2.0,0.098377,0.0958285,20.329955,392.387679,1234.0,2.0,0.227894,0.129517,0.162012,8.776029,15.178722,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,1625292800.0
2021-11-24 08:26:17,MR,0.14,362.71,196.0,0.104033,0.0867058,1884.010327,11253.722385,1234.0,196.0,0.678843,0.574809,0.15579,288.726681,372.811525,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,392.0,2130182144.0
2021-11-24 08:26:21,US,0.22,36.56,28.0,0.132655,0.126495,211.073361,4382.974579,1234.0,28.0,0.985939,0.853283,0.226281,28.399329,35.542319,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56.0,546570240.0
2021-11-24 08:26:22,CT,0.34,326.5,423.0,0.202374,0.144521,2090.188418,7294.349472,1234.0,423.0,1.63868,1.43631,0.400985,258.134313,340.955796,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,846.0,395575296.0
